Symbol,전체 기간,Digit Type,Mean,Std Dev
KRW-HIVE,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0206213515678754,0.0092850770028026
KRW-ONT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0149577904955204,0.0059341033384715
KRW-ONT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0258814314860967,0.0110110794605646
KRW-SXP,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0105202440888453,0.0054392150597869
KRW-SXP,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0175521494245583,0.0097652560118382
KRW-STORJ,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0090356076532264,0.0039961383678428
KRW-STORJ,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0139845735326114,0.0064293817214805
KRW-SNT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0096340728157856,0.0043243373064337
KRW-SNT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0162084867122191,0.007922134822853
KRW-LSK,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0128021956289784,0.0038419968440622
KRW-LSK,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0221193038790313,0.0072572114280229
KRW-CVC,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0093368541363734,0.0053857048417427
KRW-CVC,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0141006437111875,0.0086381299177764
KRW-POWR,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0097275890029798,0.0039301571300522
KRW-POWR,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0175332716106001,0.0081887074333887
KRW-IQ,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.009340207039759,0.0038066500421204
KRW-IQ,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0156617618302149,0.0080035654332896
KRW-IOST,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0147182286426903,0.0051362445463159
KRW-IOST,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.025202486928425,0.0084223172230409
KRW-STPT,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0119931149424092,0.0043410105099255
KRW-STPT,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0193799180462699,0.0063208433494246
KRW-STRAX,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0096616470887115,0.0035129864679347
KRW-STRAX,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0164343762783,0.0058174307013391
KRW-ONG,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0106097493889452,0.0043766576291393
KRW-ONG,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0191128591659517,0.0083643070036604
KRW-PUNDIX,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0120530937255656,0.0042317023900741
KRW-PUNDIX,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.0189550100224732,0.0067764597486092
KRW-STEEM,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.013584884975545768,0.004542300098115058
KRW-STEEM,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.022177336070616137,0.007529101414209339
KRW-KNC,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.01366741333945898,0.004372576858275818
KRW-KNC,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.023061573745172155,0.006529748896893302
KRW-ARK,2024-07-04-00:00 ~ 2024-12-29-00:00,First,0.0072839793824267356,0.003933825287540681
KRW-ARK,2024-07-04-00:00 ~ 2024-12-29-00:00,Second,0.011266902472758822,0.007496064323866975
